product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_PUT_U,20250729,-420,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-662|245|3|0|0|0|0|0,-414,-6,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250730,1320,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1293|40|7|0|0|0|0|0,1340,-20,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250731,1340,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1472|-125|0|0|0|0|0|0,1347,-7,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250801,-5632,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-5628|46|-100|0|0|0|0|0,-5682,50,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250804,4853,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,4761|96|0|0|0|0|0|0,4857,-4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250805,2548,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,2845|21|-150|0|0|0|0|0,2716,-168,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250806,1967,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1889|76|1|0|0|0|0|0,1966,1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250807,97,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,227|266|-151|0|0|0|0|0,342,-245,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250808,476,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,604|-127|0|0|0|0|0|0,477,-1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250811,-14880,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-13612|-64|4|0|0|0|0|0,-13672,-1208,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250812,-11649,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-10698|137|4|0|0|-158|0|0,-10715,-934,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250813,-19700,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-16496|-31|-150|0|0|-204|0|0,-16881,-2819,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250814,-12907,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-10641|-90|31|-2|0|360|0|0,-10342,-2565,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250818,1766,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1922|-6|-151|0|0|0|0|0,1765,1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250819,466,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,442|10|0|0|0|0|0|0,452,14,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250820,-497,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1007|129|400|0|0|0|0|0,-478,-19,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250821,3418,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,3500|-97|1|0|0|0|0|0,3404,14,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250825,3472,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,3436|93|-99|0|0|0|0|0,3430,42,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250826,-1480,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1448|-14|-1|0|0|0|0|0,-1463,-17,0,OPTION_SPECIFIC_SEMANTICS
